region_id,region_name,matched_station_count,turnout_2024,turnout_2026,turnout_delta_2026_minus_2024,pb_share_2026,top_party_share_2024_weighted_sum,ppdb_share_2024,ppdb_plus_gerb_share_2024,pb_minus_2024_top_party_share,pb_minus_2024_ppdb_share,historical_swing_lead_stations,weighted_corr_turnout_delta_pb_share_delta_vs_top
31,31. ЯМБОЛ,236,0.3271859466787167,0.47655265870137803,0.14936671202266133,0.5496326598764402,0.2934384164222874,0.0970491202346041,0.33275293255131966,0.25619424345415276,0.45258353964183606,24,0.4165694782307241
17,17. ПЛОВДИВ област,540,0.3151871539923431,0.4776776147055367,0.16249046071319362,0.5440621665088455,0.33274580516483643,0.09639713811936872,0.3601818245068822,0.2113163613440091,0.4476650283894768,124,0.35482420821319394
15,15. ПЛЕВЕН,392,0.3522546881814217,0.46838624455890565,0.11613155637748396,0.5184618553061284,0.31172365302986904,0.08533631936668316,0.3242623890002865,0.2067382022762594,0.43312553593944525,16,0.5116026299698171
04,04. ВЕЛИКО ТЪРНОВО,417,0.3502478514651101,0.4894165803619865,0.13916872889687637,0.5279231202184653,0.3251835904090601,0.10497832306013508,0.37647093520511987,0.20273952980940524,0.4229447971583302,29,0.39227475078373963
19,19. РУСЕ,335,0.333305001699898,0.4527774690016876,0.11947246730178956,0.49313513075113835,0.3029620345544256,0.1180054259015405,0.35363551268423477,0.19017309619671274,0.37512970484959784,9,0.45260764285772925
21,21. СЛИВЕН,298,0.2854104884145027,0.3934248215627348,0.10801433314823206,0.5199420208537897,0.3646130091555575,0.09329534828088641,0.4121958114955527,0.1553290116982322,0.4266466725729033,25,0.5389105604126656
16,16. ПЛОВДИВ град,472,0.3729356450191008,0.51074351203494,0.13780786701583914,0.4625555292695108,0.31270096463022506,0.18712143871980857,0.4841658565766844,0.14985456463928576,0.27543409054970225,39,0.34797501337791464
27,27. СТАРА ЗАГОРА,493,0.38664231124548587,0.5044196304222889,0.11777731917680301,0.49419013446413684,0.3542382916953167,0.0906199862479945,0.3738348995339598,0.13995184276882017,0.40357014821614234,13,0.6344737720831707
10,10. КЮСТЕНДИЛ,285,0.3240977060988022,0.4368642193719593,0.11276651327315712,0.482539265542024,0.34576853109226474,0.10095057521330293,0.4314484101565503,0.13677073444975923,0.38158869032872106,5,0.1966587823357717
32,32. Извън страната,197,0.9631783843907865,0.9248661781645355,-0.03831220622625098,0.44681387045190685,0.3150841102553709,0.26512464531820024,0.37413862991487634,0.13172976019653593,0.1816892251337066,3,-0.01040713576686943
