group_level,region_id,admin_name,municipality_code,place_name,station_count,broad_matched_lead_stations,strong_matched_lead_stations,strong_lead_station_rate,registered_voters,voters_signed,turnout,valid_candidate_votes,progressive_bulgaria_votes,progressive_bulgaria_share,strong_lead_valid_candidate_votes,strong_lead_progressive_bulgaria_votes,strong_lead_progressive_bulgaria_share,strong_lead_valid_vote_share_of_group,strong_lead_pb_votes_minus_control_expectation,broad_lead_pb_votes_minus_control_expectation,matched_positive_residual_stations,matched_relative_high_turnout_high_share_stations,validation_issue_stations,strong_lead_validation_issue_stations,max_matched_control_score,max_pb_control_z,max_pb_share_minus_control,max_turnout_minus_control,strong_lead_sections,strong_lead_places,voting_modes_in_strong_leads,validation_issue_types,strong_lead_centroid_latitude,strong_lead_centroid_longitude,group_label
settlement,04,04. ВЕЛИКО ТЪРНОВО,04,гр.Велико Търново,94,1,1,0.010638297872340425,56443,29807,0.5280902857750297,28968,14050,0.48501795084230875,559,303,0.5420393559928444,0.019297155481911073,28.410789408562263,28.410789408562263,0,0,1,0,2,2.403667751101639,0.050824310212097,0.0605297391429158,040400085,гр.Велико Търново,mixed_machine_paper,,43.08283,25.610859,04/04 гр.Велико Търново
settlement,29,29. ХАСКОВО,18,с.Бориславци,1,1,1,1.0,161,105,0.6521739130434783,102,39,0.38235294117647056,102,39,0.38235294117647056,1.0,27.24782608695652,27.24782608695652,0,1,0,0,2,8.44995634129536,0.2671355498721227,0.2674999811977768,291800002,с.Бориславци,paper_only,,41.6592187,25.9254551,29/18 с.Бориславци
settlement,09,09. КЪРДЖАЛИ,14,с.Горно Кирково,1,1,1,1.0,404,249,0.6163366336633663,237,114,0.4810126582278481,237,114,0.4810126582278481,1.0,26.558467741935488,26.558467741935488,0,0,0,0,2,3.5753026037573106,0.1120610453246223,0.3670900996067057,091400002,с.Горно Кирково,mixed_machine_paper,,41.32010763,25.3477335,09/14 с.Горно Кирково
settlement,08,08. ДОБРИЧ,15,с.Козлодуйци,1,1,1,1.0,186,136,0.7311827956989247,129,85,0.6589147286821705,129,85,0.6589147286821705,1.0,26.49180327868852,26.49180327868852,0,1,0,0,3,4.685206205375286,0.2053628161138644,0.403578069597958,081500028,с.Козлодуйци,mixed_machine_paper,,43.63147818,27.74442673,08/15 с.Козлодуйци
settlement,03,03. ВАРНА,26,с.Чернево,2,1,1,0.5,1123,457,0.40694568121104185,437,216,0.494279176201373,279,143,0.5125448028673835,0.6384439359267735,24.507381889763774,24.507381889763774,0,0,0,0,2,2.968286841368915,0.0878400784579346,0.1235911524373063,032600007,с.Чернево,mixed_machine_paper,,43.2905966,27.6000457,03/26 с.Чернево
settlement,19,19. РУСЕ,03,гр.Борово,3,1,1,0.3333333333333333,1805,816,0.4520775623268698,782,510,0.6521739130434783,281,196,0.697508896797153,0.3593350383631714,24.41063829787234,24.41063829787234,0,0,1,1,2,2.9864643881157407,0.0868705989248125,0.1355677357529781,190300002,гр.Борово,mixed_machine_paper,signed_voters_ballots_found_mismatch,43.4877548,25.8100681,19/03 гр.Борово
settlement,30,30. ШУМЕН,19,гр.Плиска,2,1,1,0.5,721,367,0.5090152565880721,354,234,0.6610169491525424,203,140,0.6896551724137931,0.5734463276836158,23.082278481012665,23.082278481012665,0,0,0,0,2,3.2781562266868227,0.1137058053251856,0.1400584795321637,301900010,гр.Плиска,mixed_machine_paper,,43.3628668,27.1226083,30/19 гр.Плиска
settlement,12,12. МОНТАНА,12,гр.Вършец,9,1,1,0.1111111111111111,4938,2434,0.4929121101660591,2357,1206,0.5116673737802291,114,70,0.6140350877192983,0.048366567670767927,21.29365079365079,21.29365079365079,0,0,0,0,2,4.031570772397944,0.186786410470621,0.1773745789919711,121200017,гр.Вършец,paper_only,,43.187658,23.283217,12/12 гр.Вършец
settlement,04,04. ВЕЛИКО ТЪРНОВО,26,с.Стефан Стамболово,1,1,1,1.0,147,116,0.7891156462585034,114,86,0.7543859649122807,114,86,0.7543859649122807,1.0,20.429594272076372,20.429594272076372,0,0,0,0,2,3.8708185761009424,0.1792069672989156,0.1785893304690297,042600015,с.Стефан Стамболово,paper_only,,43.2750152,25.55955,04/26 с.Стефан Стамболово
settlement,09,09. КЪРДЖАЛИ,35,с.Пчеларово,1,1,1,1.0,89,68,0.7640449438202247,65,26,0.4,65,26,0.4,1.0,19.62324814509481,19.62324814509481,0,1,0,0,2,8.182629298827054,0.3018961253091509,0.366986120290813,093500016,с.Пчеларово,paper_only,,41.7866978,25.3641815,09/35 с.Пчеларово
settlement,15,15. ПЛЕВЕН,27,с.Згалево,1,1,1,1.0,441,235,0.5328798185941043,226,140,0.6194690265486725,226,140,0.6194690265486725,1.0,18.601812688821752,18.601812688821752,0,0,0,0,2,2.481611426470352,0.082308905702751,0.0880746237889094,152700006,с.Згалево,mixed_machine_paper,,43.3768053,24.79888916,15/27 с.Згалево
settlement,01,01. БЛАГОЕВГРАД,40,с.Лебница,1,1,1,1.0,329,234,0.7112462006079028,223,143,0.6412556053811659,223,143,0.6412556053811659,1.0,18.597494305239195,18.597494305239195,0,0,0,0,2,2.507606361120019,0.083396835449503,0.1750059100803127,014000035,с.Лебница,mixed_machine_paper,,41.5219227,23.2421625,01/40 с.Лебница
settlement,18,18. РАЗГРАД,29,с.Самуил,3,1,1,0.3333333333333333,2190,772,0.35251141552511417,753,626,0.8313413014608234,81,77,0.9506172839506173,0.10756972111553785,17.88983050847458,17.88983050847458,0,1,0,0,4,4.476065506032834,0.2208621050428959,0.6216727374614739,182900017,с.Самуил,paper_only,,,,18/29 с.Самуил
settlement,17,17. ПЛОВДИВ област,12,с.Главатар,1,1,1,1.0,154,113,0.7337662337662337,110,72,0.6545454545454545,110,72,0.6545454545454545,1.0,17.722627737226283,17.722627737226283,0,0,0,0,2,3.3798642433614474,0.161114797611148,0.1083777437865959,171200011,с.Главатар,paper_only,,42.3328859,24.8700999,17/12 с.Главатар
settlement,29,29. ХАСКОВО,28,с.Мезек,1,1,1,1.0,157,116,0.7388535031847133,114,58,0.5087719298245614,114,58,0.5087719298245614,1.0,15.814977973568284,15.814977973568284,0,0,0,0,2,3.067851694097545,0.1387278769611253,0.1722519002509305,292800031,с.Мезек,paper_only,,41.7382583,26.0881214,29/28 с.Мезек
settlement,06,06. ВРАЦА,35,с.Манастирище,2,1,1,0.5,754,436,0.5782493368700266,431,245,0.568445475638051,201,115,0.572139303482587,0.46635730858468677,15.521501172791233,15.521501172791233,0,0,0,0,2,2.189717674390008,0.0772213988696081,0.0787765502621653,063500007,с.Манастирище,mixed_machine_paper,,43.57250948,23.64835024,06/35 с.Манастирище
settlement,25,25. СОФИЯ 25 МИР,46,гр.Банкя,18,1,1,0.05555555555555555,10289,6161,0.5987948294294878,5935,2184,0.3679865206402696,70,40,0.5714285714285714,0.011794439764111205,11.851851851851857,11.851851851851857,0,0,0,0,2,2.889036178714099,0.1693121693121693,0.211517805502768,254624019,гр.Банкя,paper_only,,42.7097955,23.1539501,25/46 гр.Банкя
settlement,22,22. СМОЛЯН,11,гр.Златоград,9,1,1,0.1111111111111111,5681,3199,0.563105087132547,3098,1901,0.6136216914138154,349,224,0.6418338108882522,0.11265332472562944,-0.9969390157758368,-0.9969390157758368,0,0,0,0,2,-0.111500495771071,-0.0028565587844578,0.4838004425998946,221100008,гр.Златоград,mixed_machine_paper,,41.3806126,25.0969805,22/11 гр.Златоград
