section_id,region_id,admin_name,municipality_code,place_name,address,latitude,longitude,voting_mode,registered_voters,voters_signed,turnout,total_valid_candidate_votes,progressive_bulgaria_votes,progressive_bulgaria_share,top_party_name,top_party_share,winner_margin,turnout_2024,top_party_name_2024,top_party_share_2024,ppdb_share_2024,ppdb_plus_gerb_share_2024,turnout_delta_2026_minus_2024,pb_share_2026_minus_2024_top_party_share,historical_swing_lead,control_group_level,control_count,control_weighted_pb_share,pb_share_minus_control,turnout_minus_control,pb_votes_minus_control_expectation,pb_control_z,matched_positive_residual,matched_relative_high_turnout_high_share,regional_lead_score,matched_control_score,geo_cluster_id,is_geo_clustered,validation_issue_count,validation_issue_types,validation_issue_details,voting_method_lead_flag,score_matched_control,score_regional,score_positive_residual,score_relative_high_turnout_high_share,score_geo_cluster,score_validation,score_method,score_historical,score_high_impact,score_extreme_absolute,anomaly_score,anomaly_category,anomaly_category_label,evidence_summary,cik_search_url,candidate_protocol_html_url,candidate_protocol_pdf_search_url
234616009,23,23. СОФИЯ 23 МИР,46,гр.София,"ГР.СОФИЯ, ж.к.  Студентски град , бл.60, вх.В, ет.ІІ",42.6428041,23.3405966,mixed_machine_paper,1366,914,0.6691068814055637,881,365,0.4143019296254256,ПРОГРЕСИВНА БЪЛГАРИЯ,0.4143019296254256,0.112372304199773,0.5343347639484979,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,0.3157894736842105,0.3157894736842105,0.5328947368421053,0.1347721174570658,0.0985124559412151,0.0,domestic_same_municipality_voting_mode,30,0.3215396212192594,0.0927623084061662,0.0093408310172259,81.72359370583246,5.894948409330829,1,0,1,2,6.0,1.0,0,,,1,2,0,1,0,1,0,0,0,0,0,4,2,strong statistical lead,matched-control score 2; +81.7 PB votes vs matched expectation; geo cluster 6,https://results.cik.bg/pe202604/search/index.html#/s/64/234616009,https://results.cik.bg/pe202604/protokoli/64/23/234616009.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/234616009.0.pdf
320270080,32,32. Извън страната,02,"Германия, Кобленц","ГЕРМАНИЯ ФР, Кобленц",50.3534985,7.6006785,paper_only,649,620,0.9553158705701078,583,368,0.6312178387650086,ПРОГРЕСИВНА БЪЛГАРИЯ,0.6312178387650086,0.5626072041166381,0.971764705882353,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,0.2250639386189258,0.2250639386189258,0.3350383631713555,-0.0164488353122451,0.4061539001460827,0.0,abroad_same_country_voting_mode,30,0.4930685358255451,0.1381493029394634,-0.0256783518660982,80.54104361370719,6.67197955035254,1,0,1,2,0.0,0.0,0,,,1,2,0,1,0,0,0,1,0,0,0,4,2,strong statistical lead,matched-control score 2; +80.5 PB votes vs matched expectation; paper-only method lead,https://results.cik.bg/pe202604/search/index.html#/s/64/320270080,https://results.cik.bg/pe202604/protokoli/64/32/320270080.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/320270080.0.pdf
091400034,09,09. КЪРДЖАЛИ,14,с.Дрангово,"С.ДРАНГОВО, в сградата на основно училище  Васил Левски ",41.33340076,25.24289131,mixed_machine_paper,490,207,0.4224489795918367,199,151,0.7587939698492462,ПРОГРЕСИВНА БЪЛГАРИЯ,0.7587939698492462,0.6582914572864321,0.3467741935483871,ГЕРБ-СДС,0.3072289156626506,0.0481927710843373,0.3554216867469879,0.0756747860434495,0.4515650541865956,0.0,domestic_same_municipality_voting_mode,30,0.3619002148484125,0.3968937550008337,0.1850807498571948,78.98185724516591,11.650970000392878,1,0,2,3,0.0,0.0,0,,,1,2,1,1,0,0,0,0,0,0,0,4,2,strong statistical lead,matched-control score 3; +79.0 PB votes vs matched expectation; regional score 2,https://results.cik.bg/pe202604/search/index.html#/s/64/091400034,https://results.cik.bg/pe202604/protokoli/64/09/091400034.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/091400034.0.pdf
293300039,29,29. ХАСКОВО,33,с.Славяново,"С.СЛАВЯНОВО, Сграда на клуба ул. А.С.Макаренко №2",41.80788829999999,25.780337,mixed_machine_paper,574,300,0.5226480836236934,285,249,0.8736842105263158,ПРОГРЕСИВНА БЪЛГАРИЯ,0.8736842105263158,0.8245614035087719,0.28,ГЕРБ-СДС,0.2193548387096774,0.0709677419354838,0.2903225806451613,0.2426480836236934,0.6543293718166384,1.0,domestic_same_municipality_voting_mode,25,0.5998244293955355,0.2738597811307803,0.0074965684721782,78.05003762227238,9.43655174161134,1,0,1,2,0.0,0.0,0,,,1,2,0,1,0,0,0,0,1,0,0,4,2,strong statistical lead,matched-control score 2; +78.1 PB votes vs matched expectation; large 2026 swing vs exact 2024 section,https://results.cik.bg/pe202604/search/index.html#/s/64/293300039,https://results.cik.bg/pe202604/protokoli/64/29/293300039.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/293300039.0.pdf
244622002,24,24. СОФИЯ 24 МИР,46,"гр. София,Кв. Враждебна","ГР. СОФИЯ,КВ. ВРАЖДЕБНА, 85-то СУ  Отец Паисий  - ул. 59  №13",42.7113343,23.4147481,mixed_machine_paper,781,420,0.5377720870678617,403,217,0.5384615384615384,ПРОГРЕСИВНА БЪЛГАРИЯ,0.5384615384615384,0.4094292803970223,0.3603603603603603,ГЕРБ-СДС,0.31640625,0.11328125,0.4296875,0.1774117267075013,0.2220552884615384,0.0,domestic_same_municipality_voting_mode,30,0.3469117403543633,0.1915497981071751,-0.0009399671614338,77.1945686371916,8.078649838787289,1,0,1,2,7.0,1.0,0,,,1,2,0,1,0,1,0,0,0,0,0,4,2,strong statistical lead,matched-control score 2; +77.2 PB votes vs matched expectation; geo cluster 7,https://results.cik.bg/pe202604/search/index.html#/s/64/244622002,https://results.cik.bg/pe202604/protokoli/64/24/244622002.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/244622002.0.pdf
244622012,24,24. СОФИЯ 24 МИР,46,"гр. София,Кв. Ботунец","ГР. СОФИЯ,КВ. БОТУНЕЦ, 162-то ОбУ  Отец Паисий , ул.  Свобода  №10",42.74073245,23.50962639,mixed_machine_paper,956,308,0.3221757322175732,298,176,0.5906040268456376,ПРОГРЕСИВНА БЪЛГАРИЯ,0.5906040268456376,0.5,0.1475409836065573,ГЕРБ-СДС,0.2318840579710145,0.072463768115942,0.3043478260869565,0.1746347486110158,0.3587199688746231,0.0,domestic_same_municipality_voting_mode,30,0.3317000136109977,0.2589040132346399,-0.2301493947427397,77.15339594392267,9.492671315511778,1,0,1,2,8.0,1.0,0,,,1,2,0,1,0,1,0,0,0,0,0,4,2,strong statistical lead,matched-control score 2; +77.2 PB votes vs matched expectation; geo cluster 8,https://results.cik.bg/pe202604/search/index.html#/s/64/244622012,https://results.cik.bg/pe202604/protokoli/64/24/244622012.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/244622012.0.pdf
201500507,20,20. СИЛИСТРА,15,с.Кайнарджа,"С.КАЙНАРДЖА, Училище ул. Ради Перчемлиев  №2",43.9922617,27.5079014,mixed_machine_paper,524,265,0.5057251908396947,256,149,0.58203125,ПРОГРЕСИВНА БЪЛГАРИЯ,0.58203125,0.375,0.4235727440147329,ГЕРБ-СДС,0.4292452830188679,0.0330188679245283,0.4622641509433962,0.0821524468249617,0.152785966981132,0.0,domestic_same_municipality_voting_mode,6,0.2899884925201381,0.2920427574798619,0.2268942271746078,74.76294591484465,10.297773780806551,1,1,0,3,0.0,0.0,0,,,1,2,0,1,1,0,0,0,0,0,0,4,2,strong statistical lead,matched-control score 3; +74.8 PB votes vs matched expectation; high turnout and high PB share vs controls,https://results.cik.bg/pe202604/search/index.html#/s/64/201500507,https://results.cik.bg/pe202604/protokoli/64/20/201500507.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/201500507.0.pdf
091600013,09,09. КЪРДЖАЛИ,16,гр.Кърджали,"ГР.КЪРДЖАЛИ, СУ  Отец Паисий ",41.6431893,25.372846,mixed_machine_paper,811,376,0.4636251541307028,364,160,0.4395604395604395,ПРОГРЕСИВНА БЪЛГАРИЯ,0.4395604395604395,0.2994505494505494,0.3659147869674185,ДПС-Ново начало,0.1857142857142857,0.1178571428571428,0.2892857142857143,0.0977103671632843,0.2538461538461538,0.0,domestic_same_municipality_voting_mode,30,0.2421347389227474,0.197425700637692,0.2016437754689358,71.86295503211991,8.792853323988524,1,0,1,2,3.0,1.0,0,,,1,2,0,1,0,1,0,0,0,0,0,4,2,strong statistical lead,matched-control score 2; +71.9 PB votes vs matched expectation; geo cluster 3,https://results.cik.bg/pe202604/search/index.html#/s/64/091600013,https://results.cik.bg/pe202604/protokoli/64/09/091600013.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/091600013.0.pdf
091600043,09,09. КЪРДЖАЛИ,16,гр.Кърджали,"ГР.КЪРДЖАЛИ, ОУ  Васил Левски ",41.60904379999999,25.3761902,mixed_machine_paper,1034,349,0.3375241779497098,337,173,0.5133531157270029,ПРОГРЕСИВНА БЪЛГАРИЯ,0.5133531157270029,0.2106824925816023,0.2589118198874296,ДПС-Ново начало,0.4505928853754941,0.0711462450592885,0.1620553359683794,0.0786123580622801,0.0627602303515088,0.0,domestic_same_municipality_voting_mode,30,0.3009275990844476,0.2124255166425552,0.0394088990545636,71.58739910854113,8.502165316863383,1,0,1,2,3.0,1.0,0,,,1,2,0,1,0,1,0,0,0,0,0,4,2,strong statistical lead,matched-control score 2; +71.6 PB votes vs matched expectation; geo cluster 3,https://results.cik.bg/pe202604/search/index.html#/s/64/091600043,https://results.cik.bg/pe202604/protokoli/64/09/091600043.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/091600043.0.pdf
234615122,23,23. СОФИЯ 23 МИР,46,"гр. София,Кв. Горубляне","ГР.СОФИЯ, КВ.ГОРУБЛЯНЕ, ул.Самоковско шосе №42 - 82 ОУ  Васил Априлов ",42.630743,23.4096783,mixed_machine_paper,960,553,0.5760416666666667,527,242,0.4592030360531309,ПРОГРЕСИВНА БЪЛГАРИЯ,0.4592030360531309,0.2998102466793169,0.3447537473233404,ГЕРБ-СДС,0.3952702702702703,0.2094594594594594,0.6047297297297297,0.2312879193433262,0.0639327657828606,0.0,domestic_same_municipality_voting_mode,30,0.3235394601981551,0.1356635758549758,-0.038710215808838,71.49470447557226,6.657078919493979,1,0,1,2,6.0,1.0,0,,,1,2,0,1,0,1,0,0,0,0,0,4,2,strong statistical lead,matched-control score 2; +71.5 PB votes vs matched expectation; geo cluster 6,https://results.cik.bg/pe202604/search/index.html#/s/64/234615122,https://results.cik.bg/pe202604/protokoli/64/23/234615122.0.html,https://results.cik.bg/pe202604/search/index.html#/s/64/234615122.0.pdf
