section_id,region_id,admin_name,municipality_code,place_name,voting_mode,registered_voters,voters_signed,turnout,total_valid_candidate_votes,progressive_bulgaria_votes,progressive_bulgaria_share,registered_voters_2024,voters_signed_2024,turnout_2024,valid_candidate_votes_2024,top_party_id_2024,top_party_name_2024,top_party_votes_2024,top_party_share_2024,ppdb_votes_2024,gerb_sds_votes_2024,dps_new_votes_2024,aps_votes_2024,ppdb_share_2024,gerb_sds_share_2024,ppdb_plus_gerb_share_2024,dps_plus_aps_share_2024,turnout_delta_2026_minus_2024,pb_share_2026_minus_2024_top_party_share,pb_share_2026_minus_2024_ppdb_share,pb_share_2026_minus_2024_ppdb_plus_gerb_share,registered_voter_delta_2026_minus_2024,valid_vote_delta_2026_minus_2024,historical_swing_lead
293300039,29,29. ХАСКОВО,33,с.Славяново,mixed_machine_paper,574,300,0.5226480836236934,285,249,0.8736842105263158,575,161,0.28,155,18,ГЕРБ-СДС,34,0.21935483870967742,11,34,14,2,0.07096774193548387,0.21935483870967742,0.2903225806451613,0.1032258064516129,0.2426480836236934,0.6543293718166384,0.802716468590832,0.5833616298811546,-1,130,1
172500028,17,17. ПЛОВДИВ област,25,с.Чалъкови,mixed_machine_paper,641,255,0.3978159126365054,243,197,0.8106995884773662,655,44,0.06717557251908397,42,28,БСП – ОБЕДИНЕНА ЛЕВИЦА,11,0.2619047619047619,2,7,0,0,0.047619047619047616,0.16666666666666666,0.21428571428571427,0.0,0.33064034011742144,0.5487948265726044,0.7630805408583186,0.5964138741916519,-14,201,1
173300007,17,17. ПЛОВДИВ област,33,гр.Съединение,mixed_machine_paper,923,312,0.3380281690140845,286,225,0.7867132867132867,907,120,0.13230429988974643,105,28,БСП – ОБЕДИНЕНА ЛЕВИЦА,25,0.23809523809523808,6,18,5,6,0.05714285714285714,0.17142857142857143,0.22857142857142856,0.10476190476190476,0.20572386912433807,0.5486180486180485,0.7295704295704295,0.5581418581418581,16,181,1
041400001,04,04. ВЕЛИКО ТЪРНОВО,14,гр.Златарица,mixed_machine_paper,798,376,0.4711779448621553,359,281,0.7827298050139275,754,202,0.26790450928381965,183,8,ДПС-Ново начало,43,0.23497267759562843,10,24,43,0,0.0546448087431694,0.13114754098360656,0.18579234972677597,0.23497267759562843,0.20327343557833566,0.5477571274182991,0.7280849962707582,0.5969374552871516,44,176,1
014000061,01,01. БЛАГОЕВГРАД,40,с.Яново,paper_only,97,64,0.6597938144329897,60,46,0.7666666666666667,102,42,0.4117647058823529,41,18,ГЕРБ-СДС,9,0.21951219512195122,7,9,1,0,0.17073170731707318,0.21951219512195122,0.3902439024390244,0.024390243902439025,0.24802910855063676,0.5471544715447155,0.5959349593495935,0.3764227642276423,-5,19,1
152300009,15,15. ПЛЕВЕН,23,с.Староселци,mixed_machine_paper,352,181,0.5142045454545454,177,142,0.8022598870056498,360,110,0.3055555555555556,105,28,БСП – ОБЕДИНЕНА ЛЕВИЦА,28,0.26666666666666666,7,23,12,2,0.06666666666666667,0.21904761904761905,0.2857142857142857,0.13333333333333333,0.20864898989898983,0.535593220338983,0.7355932203389831,0.5165456012913641,-8,72,1
020900022,02,02. БУРГАС,09,гр.Карнобат,mixed_machine_paper,637,240,0.3767660910518053,228,166,0.7280701754385965,651,104,0.1597542242703533,98,8,ДПС-Ново начало,21,0.21428571428571427,4,14,21,2,0.04081632653061224,0.14285714285714285,0.1836734693877551,0.23469387755102042,0.217011866781452,0.5137844611528822,0.6872538489079842,0.5443967060508415,-14,130,1
171700016,17,17. ПЛОВДИВ област,17,с.Граф Игнатиево,mixed_machine_paper,637,392,0.6153846153846154,381,277,0.7270341207349081,640,226,0.353125,211,18,ГЕРБ-СДС,47,0.22274881516587677,33,47,2,1,0.15639810426540285,0.22274881516587677,0.3791469194312796,0.014218009478672985,0.2622596153846154,0.5042853055690314,0.5706360164695052,0.34788720130362855,-3,170,1
174300012,17,17. ПЛОВДИВ област,43,с.Анево,mixed_machine_paper,503,269,0.5347912524850894,266,184,0.6917293233082706,508,129,0.25393700787401574,123,12,ВЪЗРАЖДАНЕ,24,0.1951219512195122,13,16,1,20,0.10569105691056911,0.13008130081300814,0.23577235772357724,0.17073170731707318,0.28085424461107367,0.49660737208875844,0.5860382663977015,0.4559569655846934,-5,143,1
171700020,17,17. ПЛОВДИВ област,17,с.Калековец,mixed_machine_paper,636,271,0.4261006289308176,247,179,0.7246963562753036,631,101,0.1600633914421553,91,8,ДПС-Ново начало,21,0.23076923076923078,6,19,21,2,0.06593406593406594,0.2087912087912088,0.27472527472527475,0.25274725274725274,0.2660372374886623,0.4939271255060728,0.6587622903412377,0.44997108155002885,5,156,1
021500027,02,02. БУРГАС,15,с.Оризаре,mixed_machine_paper,547,278,0.5082266910420475,271,197,0.7269372693726938,414,120,0.2898550724637681,115,8,ДПС-Ново начало,27,0.23478260869565218,8,16,27,0,0.06956521739130435,0.1391304347826087,0.20869565217391303,0.23478260869565218,0.21837161857827941,0.4921546606770416,0.6573720519813894,0.5182416171987807,133,156,1
021500019,02,02. БУРГАС,15,с.Гюльовца,mixed_machine_paper,376,217,0.5771276595744681,214,159,0.7429906542056075,328,118,0.3597560975609756,113,12,ВЪЗРАЖДАНЕ,29,0.25663716814159293,8,25,9,1,0.07079646017699115,0.22123893805309736,0.2920353982300885,0.08849557522123894,0.2173715620134925,0.4863534860640146,0.6721941940286164,0.450955255975519,48,101,1
153700034,15,15. ПЛЕВЕН,37,гр.Червен бряг,mixed_machine_paper,798,356,0.4461152882205513,343,245,0.7142857142857143,821,200,0.243605359317905,194,12,ВЪЗРАЖДАНЕ,45,0.23195876288659795,13,35,26,9,0.06701030927835051,0.18041237113402062,0.24742268041237114,0.18041237113402062,0.2025099289026463,0.48232695139911635,0.6472754050073638,0.46686303387334316,-23,149,1
042600003,04,04. ВЕЛИКО ТЪРНОВО,26,гр.Полски Тръмбеш,mixed_machine_paper,737,324,0.4396200814111262,305,222,0.7278688524590164,740,173,0.23378378378378378,166,18,ГЕРБ-СДС,41,0.2469879518072289,12,41,10,3,0.07228915662650602,0.2469879518072289,0.3192771084337349,0.0783132530120482,0.2058362976273424,0.48088090065178757,0.6555796958325104,0.40859174402528153,-3,139,1
172800004,17,17. ПЛОВДИВ област,28,с.Чешнегирово,mixed_machine_paper,712,365,0.5126404494382022,354,259,0.731638418079096,737,162,0.2198100407055631,155,12,ВЪЗРАЖДАНЕ,39,0.25161290322580643,19,35,0,0,0.12258064516129032,0.22580645161290322,0.34838709677419355,0.0,0.2928304087326391,0.4800255148532896,0.6090577729178057,0.38325132130490247,-25,199,1
